Total_Stops,Price,Duration_min,Freq_encoded_Airline,Mean_encoded_Airline,Freq_encoded_Destination,Freq_encoded_Route,Mean_encoded_Route,Label_encoded_Airline,Label_encoded_Source,Label_encoded_Destination,Label_encoded_Route,dep_hr,arr_hr,arrival_timeOfDay_encoded,dep_day_of_week,arr_day_of_week,dep_weekday,arr_weekday,dep_month,dep_day_of_month,departure_timeOfDay_after_noon,departure_timeOfDay_late_night,departure_timeOfDay_morning,departure_timeOfDay_night,arrival_timeOfDay_after_noon,arrival_timeOfDay_early_morning,arrival_timeOfDay_evening
0.0,3897,170,0.1952781494934047,5668.469897209985,0.20827757598929458,0.14681705218887403,5552.235677083333,3,0,2,18,22,1,6,6,0,0,1,3,24,0,0,0,1,0,0,0
2.0,7662,445,0.1619193270885108,9556.6080283353,0.27337029248709616,0.0005735041101127892,7369.166666666667,1,3,0,84,5,13,3,2,2,1,1,5,1,0,0,0,0,1,0,0
2.0,13882,1140,0.35366086790288664,11599.02108108108,0.41531255974001147,0.0039189447524373925,13277.19512195122,4,2,1,118,9,4,1,6,0,0,1,6,9,0,0,1,0,0,1,0
1.0,6218,325,0.1952781494934047,5668.469897209985,0.27337029248709616,0.0008602561651691837,6279.333333333333,3,3,0,91,18,23,3,6,6,0,0,5,12,0,0,0,0,1,0,0
1.0,13302,285,0.1952781494934047,5668.469897209985,0.20827757598929458,0.0002867520550563946,11313.0,3,0,2,29,16,21,5,4,4,1,1,3,1,0,0,0,0,0,0,0
0.0,3873,145,0.0779009749569872,4335.841717791411,0.27337029248709616,0.06920282928694323,4556.055248618784,8,3,0,64,9,11,2,0,0,1,1,6,24,0,0,1,0,0,0,0
1.0,11087,930,0.35366086790288664,11599.02108108108,0.20827757598929458,0.038424775377556876,15723.174129353234,4,0,2,5,18,10,2,1,2,1,1,3,12,0,0,0,0,0,0,0
1.0,22270,1265,0.35366086790288664,11599.02108108108,0.20827757598929458,0.038424775377556876,15723.174129353234,4,0,2,5,8,5,1,4,5,1,0,3,1,0,0,1,0,0,1,0
1.0,11087,1530,0.35366086790288664,11599.02108108108,0.20827757598929458,0.038424775377556876,15723.174129353234,4,0,2,5,8,10,2,1,2,1,1,3,12,0,0,1,0,0,0,0
1.0,8625,470,0.1143184859491493,10902.678093645485,0.41531255974001147,0.2271076276046645,10954.205808080807,6,2,1,104,11,19,4,0,0,1,1,5,27,0,0,1,0,0,0,1
1.0,8907,795,0.1619193270885108,9556.6080283353,0.41531255974001147,0.022175492257694513,7559.612068965517,1,2,1,103,9,23,3,5,5,0,0,6,1,0,0,1,0,1,0,0
0.0,4174,155,0.1952781494934047,5668.469897209985,0.27337029248709616,0.06920282928694323,4556.055248618784,3,3,0,64,20,22,5,3,3,1,1,4,18,0,0,0,1,0,0,0
0.0,4667,135,0.1619193270885108,9556.6080283353,0.03641751099216211,0.03641751099216211,4789.892388451443,1,1,4,127,11,13,3,0,0,1,1,6,24,0,0,1,0,1,0,0
1.0,9663,730,0.35366086790288664,11599.02108108108,0.27337029248709616,0.09357675396673676,11487.788559754852,4,3,0,66,21,9,2,3,4,1,1,5,9,0,0,0,1,0,0,0
0.0,4804,155,0.1952781494934047,5668.469897209985,0.27337029248709616,0.06920282928694323,4556.055248618784,3,3,0,64,17,19,4,2,2,1,1,4,24,0,0,0,0,0,0,1
2.0,14011,1595,0.1619193270885108,9556.6080283353,0.41531255974001147,0.013764098642706939,12630.173611111111,1,2,1,97,16,19,4,6,0,0,1,3,3,0,0,0,0,0,0,1
1.0,5830,270,0.0779009749569872,4335.841717791411,0.41531255974001147,0.004014528770789524,6602.071428571428,8,2,1,123,8,13,3,0,0,1,1,4,15,0,0,1,0,1,0,0
1.0,10262,1355,0.35366086790288664,11599.02108108108,0.41531255974001147,0.2271076276046645,10954.205808080807,4,2,1,104,14,12,3,2,3,1,1,6,12,1,0,0,0,1,0,0
2.0,13381,1380,0.1619193270885108,9556.6080283353,0.41531255974001147,0.004205696807493787,13962.431818181818,1,2,1,105,20,19,4,2,3,1,1,6,12,0,0,0,1,0,0,1
1.0,12898,1235,0.35366086790288664,11599.02108108108,0.41531255974001147,0.2271076276046645,10954.205808080807,4,2,1,104,16,12,3,0,1,1,1,5,27,0,0,0,0,1,0,0
1.0,19495,310,0.018543299560313517,5861.056701030928,0.41531255974001147,0.2271076276046645,10954.205808080807,2,2,1,104,14,19,4,2,2,1,1,3,6,1,0,0,0,0,0,1
1.0,6955,920,0.1619193270885108,9556.6080283353,0.20827757598929458,0.0014337602752819729,9139.133333333333,1,0,2,17,22,13,3,3,4,1,1,3,21,0,0,0,1,1,0,0
0.0,3943,170,0.1952781494934047,5668.469897209985,0.20827757598929458,0.14681705218887403,5552.235677083333,3,0,2,18,4,6,1,2,2,1,1,4,3,0,0,0,0,0,1,0
0.0,4823,175,0.1952781494934047,5668.469897209985,0.20827757598929458,0.14681705218887403,5552.235677083333,3,0,2,18,18,21,5,2,2,1,1,5,1,0,0,0,0,0,0,0
1.0,7757,800,0.35366086790288664,11599.02108108108,0.27337029248709616,0.09357675396673676,11487.788559754852,4,3,0,66,18,8,2,0,1,1,1,5,6,0,0,0,0,0,0,0
2.0,13292,910,0.35366086790288664,11599.02108108108,0.41531255974001147,0.008602561651691838,14038.122222222222,4,2,1,113,21,12,3,6,0,0,1,6,9,0,0,0,1,1,0,0
1.0,8238,345,0.1952781494934047,5668.469897209985,0.41531255974001147,0.001624928311986236,7166.176470588235,3,2,1,119,21,3,1,5,6,0,0,6,1,0,0,0,1,0,1,0
1.0,7682,355,0.018543299560313517,5861.056701030928,0.41531255974001147,0.2271076276046645,10954.205808080807,2,2,1,104,7,12,3,2,2,1,1,5,15,0,0,0,0,1,0,0
0.0,4668,170,0.04568916077231887,7801.355648535565,0.20827757598929458,0.14681705218887403,5552.235677083333,10,0,2,18,9,12,3,1,1,1,1,6,18,0,0,1,0,1,0,0
0.0,3687,135,0.04568916077231887,7801.355648535565,0.03641751099216211,0.03641751099216211,4789.892388451443,10,1,4,127,7,9,2,5,5,0,0,6,15,0,0,0,0,0,0,0
0.0,3687,135,0.04568916077231887,7801.355648535565,0.03641751099216211,0.03641751099216211,4789.892388451443,10,1,4,127,7,9,2,1,1,1,1,6,18,0,0,0,0,0,0,0
2.0,13227,805,0.1619193270885108,9556.6080283353,0.27337029248709616,0.003632192697380998,13892.052631578947,1,3,0,78,9,23,3,2,2,1,1,5,1,0,0,1,0,1,0,0
0.0,4423,170,0.1952781494934047,5668.469897209985,0.20827757598929458,0.14681705218887403,5552.235677083333,3,0,2,18,4,6,1,5,5,0,0,4,6,0,0,0,0,0,1,0
2.0,10919,1320,0.35366086790288664,11599.02108108108,0.41531255974001147,0.004205696807493787,12171.227272727272,4,2,1,122,14,12,3,5,6,0,0,6,15,1,0,0,0,1,0,0
1.0,12373,330,0.35366086790288664,11599.02108108108,0.41531255974001147,0.2271076276046645,10954.205808080807,4,2,1,104,7,12,3,5,5,0,0,5,18,0,0,0,0,1,0,0
1.0,5894,625,0.1952781494934047,5668.469897209985,0.41531255974001147,0.2271076276046645,10954.205808080807,3,2,1,104,10,21,5,3,3,1,1,6,27,0,0,1,0,0,0,0
1.0,4649,315,0.0779009749569872,4335.841717791411,0.27337029248709616,0.006212961192888549,5240.876923076923,8,3,0,90,15,20,5,1,1,1,1,5,21,1,0,0,0,0,0,0
0.0,6245,150,0.1619193270885108,9556.6080283353,0.27337029248709616,0.06920282928694323,4556.055248618784,1,3,0,64,14,16,4,5,5,0,0,5,18,1,0,0,0,0,0,1
1.0,19225,375,0.35366086790288664,11599.02108108108,0.20827757598929458,0.038424775377556876,15723.174129353234,4,0,2,5,7,13,3,2,2,1,1,3,6,0,0,0,0,1,0,0
1.0,14924,715,0.35366086790288664,11599.02108108108,0.41531255974001147,0.2271076276046645,10954.205808080807,4,2,1,104,7,19,4,0,0,1,1,6,3,0,0,0,0,0,0,1
1.0,9646,665,0.1143184859491493,10902.678093645485,0.41531255974001147,0.031160389982794877,7299.331288343558,6,2,1,111,7,18,4,1,1,1,1,5,21,0,0,0,0,0,0,1
1.0,8714,510,0.1619193270885108,9556.6080283353,0.20827757598929458,0.038424775377556876,15723.174129353234,1,0,2,5,6,15,3,4,4,1,1,3,15,0,0,0,0,1,0,0
1.0,12373,1325,0.35366086790288664,11599.02108108108,0.41531255974001147,0.2271076276046645,10954.205808080807,4,2,1,104,20,19,4,5,6,0,0,5,18,0,0,0,1,0,0,1
0.0,3383,165,0.030491301854329956,5590.260188087775,0.20827757598929458,0.14681705218887403,5552.235677083333,0,0,2,18,11,13,3,0,0,1,1,5,6,0,0,1,0,1,0,0
1.0,13062,720,0.1143184859491493,10902.678093645485,0.41531255974001147,0.2271076276046645,10954.205808080807,6,2,1,104,9,21,5,3,3,1,1,3,21,0,0,1,0,0,0,0
0.0,3527,170,0.0779009749569872,4335.841717791411,0.20827757598929458,0.14681705218887403,5552.235677083333,8,0,2,18,5,8,2,6,6,0,0,3,24,0,0,0,0,0,0,0
0.0,3943,170,0.1952781494934047,5668.469897209985,0.20827757598929458,0.14681705218887403,5552.235677083333,3,0,2,18,4,6,1,0,0,1,1,5,27,0,0,0,0,0,1,0
0.0,4667,135,0.1619193270885108,9556.6080283353,0.03641751099216211,0.03641751099216211,4789.892388451443,1,1,4,127,11,13,3,4,4,1,1,5,3,0,0,1,0,1,0,0
1.0,6117,965,0.1619193270885108,9556.6080283353,0.27337029248709616,0.0050659529726629704,4910.018867924528,1,3,0,80,19,11,2,2,3,1,1,5,15,0,0,0,0,0,0,0
2.0,11150,1195,0.35366086790288664,11599.02108108108,0.41531255974001147,0.013764098642706939,12630.173611111111,4,2,1,97,23,19,4,3,4,1,1,6,27,1,0,0,0,0,0,1
0.0,7202,195,0.35366086790288664,11599.02108108108,0.41531255974001147,0.020359395909004013,6315.816901408451,4,2,1,106,11,14,3,5,5,0,0,3,9,0,0,1,0,1,0,0
1.0,12121,1520,0.35366086790288664,11599.02108108108,0.27337029248709616,0.05400497036895431,10763.258407079646,4,3,0,73,9,10,2,2,3,1,1,5,1,0,0,1,0,0,0,0
0.0,4377,170,0.1952781494934047,5668.469897209985,0.20827757598929458,0.14681705218887403,5552.235677083333,3,0,2,18,22,1,6,6,0,0,1,3,24,0,0,0,1,0,0,0
0.0,3943,180,0.1952781494934047,5668.469897209985,0.20827757598929458,0.14681705218887403,5552.235677083333,3,0,2,18,21,0,6,1,2,1,1,6,18,0,0,0,1,0,0,0
0.0,4483,170,0.030491301854329956,5590.260188087775,0.20827757598929458,0.14681705218887403,5552.235677083333,0,0,2,18,23,2,6,2,3,1,1,4,3,1,0,0,0,0,0,0
1.0,14231,975,0.35366086790288664,11599.02108108108,0.27337029248709616,0.09357675396673676,11487.788559754852,4,3,0,66,19,12,3,6,0,0,1,3,24,0,0,0,0,1,0,0
2.0,17345,905,0.1619193270885108,9556.6080283353,0.20827757598929458,0.0003823360734085261,14155.75,1,0,2,3,8,23,3,4,4,1,1,3,1,0,0,1,0,1,0,0
0.0,7414,135,0.04568916077231887,7801.355648535565,0.03641751099216211,0.03641751099216211,4789.892388451443,10,1,4,127,7,9,2,2,2,1,1,3,6,0,0,0,0,0,0,0
1.0,8073,390,0.1143184859491493,10902.678093645485,0.41531255974001147,0.2271076276046645,10954.205808080807,6,2,1,104,19,1,6,0,1,1,1,5,6,0,0,0,0,0,0,0
1.0,12395,1505,0.04568916077231887,7801.355648535565,0.06662206079143568,0.0031542726056203404,13379.515151515152,10,4,3,45,15,16,4,2,3,1,1,3,6,1,0,0,0,0,0,1
1.0,8366,745,0.1619193270885108,9556.6080283353,0.27337029248709616,0.09357675396673676,11487.788559754852,1,3,0,66,9,21,5,3,3,1,1,6,6,0,0,1,0,0,0,0
1.0,5117,1640,0.1619193270885108,9556.6080283353,0.41531255974001147,0.013955266679411202,7312.431506849315,1,2,1,121,6,9,2,2,3,1,1,4,3,0,0,0,0,0,0,0
1.0,12524,615,0.1143184859491493,10902.678093645485,0.41531255974001147,0.2271076276046645,10954.205808080807,6,2,1,104,8,19,4,0,0,1,1,6,3,0,0,1,0,0,0,1
1.0,7191,630,0.1952781494934047,5668.469897209985,0.41531255974001147,0.2271076276046645,10954.205808080807,3,2,1,104,15,1,6,2,3,1,1,5,15,1,0,0,0,0,0,0
0.0,3687,135,0.04568916077231887,7801.355648535565,0.03641751099216211,0.03641751099216211,4789.892388451443,10,1,4,127,7,9,2,4,4,1,1,5,24,0,0,0,0,0,0,0
1.0,5894,625,0.1952781494934047,5668.469897209985,0.41531255974001147,0.2271076276046645,10954.205808080807,3,2,1,104,10,21,5,0,0,1,1,6,24,0,0,1,0,0,0,0
0.0,5403,170,0.04568916077231887,7801.355648535565,0.20827757598929458,0.14681705218887403,5552.235677083333,10,0,2,18,9,12,3,2,2,1,1,4,24,0,0,1,0,1,0,0
0.0,3625,90,0.1619193270885108,9556.6080283353,0.06662206079143568,0.05935767539667368,3932.8099838969406,1,4,3,48,13,15,3,0,0,1,1,5,6,1,0,0,0,1,0,0
