iter	RMSE
0	4467.358985
1	4300.006704
2	4161.096661
3	4026.749467
4	3900.521811
5	3795.219063
6	3677.073042
7	3563.96481
8	3475.841325
9	3379.423796
10	3289.534868
11	3209.096637
12	3131.472576
13	3057.283621
14	3001.353929
15	2952.429497
16	2904.450069
17	2850.722322
18	2802.330063
19	2764.684648
20	2727.375196
21	2683.279252
22	2648.37241
23	2611.661697
24	2582.648897
25	2547.196432
26	2521.137012
27	2491.86494
28	2463.493416
29	2443.19498
30	2426.642348
31	2411.657302
32	2397.189759
33	2378.099
34	2365.864375
35	2353.057849
36	2338.81807
37	2328.515373
38	2309.281176
39	2294.348941
40	2278.986674
41	2268.664237
42	2257.117421
43	2250.278561
44	2236.243165
45	2231.823479
46	2226.198917
47	2214.575095
48	2203.542077
49	2197.535728
50	2191.607946
51	2181.263389
52	2171.72556
53	2160.538601
54	2150.178844
55	2146.122938
56	2141.050591
57	2133.449835
58	2127.891477
59	2123.69732
60	2115.344303
61	2108.668124
62	2099.089524
63	2093.837149
64	2086.195105
65	2082.420303
66	2076.529621
67	2074.514809
68	2072.181641
69	2069.438218
70	2064.636838
71	2057.707494
72	2051.737813
73	2044.71798
74	2040.878928
75	2033.849583
76	2030.160738
77	2025.528964
78	2020.942878
79	2014.782886
80	2011.366798
81	2008.832956
82	2007.456122
83	2003.476044
84	1998.145294
85	1996.196701
86	1992.998063
87	1989.941221
88	1984.885283
89	1978.85597
90	1975.217665
91	1970.668983
92	1965.153163
93	1963.5031
94	1962.081831
95	1961.505516
96	1959.025012
97	1958.68317
98	1955.80309
99	1952.401024
100	1946.084396
101	1939.969647
102	1938.877858
103	1934.498673
104	1931.737862
105	1928.296474
106	1925.298689
107	1921.288746
108	1920.228368
109	1918.7325
110	1914.696486
111	1909.184723
112	1907.440345
113	1904.990562
114	1903.473311
115	1900.758717
116	1896.527073
117	1893.831733
118	1888.557989
119	1885.515417
120	1884.662789
121	1882.600787
122	1879.386295
123	1879.16605
124	1876.853982
125	1875.184475
126	1871.593086
127	1870.821872
128	1865.414718
129	1864.724491
130	1863.148222
131	1858.918027
132	1855.206999
133	1853.738774
134	1852.272024
135	1847.934359
136	1845.206921
137	1843.535711
138	1840.238613
139	1839.318471
140	1837.618479
141	1835.144328
142	1832.951746
143	1831.406631
144	1829.555222
145	1827.411704
146	1824.486819
147	1821.784174
148	1819.687831
149	1817.967663
150	1815.390351
151	1813.803865
152	1811.155145
153	1809.147674
154	1808.263282
155	1807.116204
156	1804.666073
157	1802.249282
158	1800.446131
159	1799.444155
160	1796.335635
161	1795.352323
162	1794.319217
163	1791.875671
164	1789.653288
165	1787.654702
166	1785.322172
167	1783.477066
168	1782.719791
169	1782.240597
170	1781.223573
171	1779.529604
172	1778.664143
173	1777.065586
174	1775.226981
175	1774.665089
176	1772.457964
177	1770.154039
178	1768.751578
179	1766.385458
180	1763.680219
181	1761.697635
182	1759.418749
183	1757.958365
184	1757.800206
185	1756.245802
186	1754.221714
187	1752.910409
188	1751.898904
189	1750.369979
190	1749.549002
191	1748.077559
192	1746.730781
193	1744.228125
194	1742.884912
195	1742.248243
196	1739.952399
197	1739.236464
198	1737.715444
199	1736.097135
200	1735.729169
201	1734.364323
202	1732.640061
203	1731.4868
204	1730.225813
205	1728.201888
206	1727.169947
207	1726.054708
208	1724.654465
209	1722.702308
210	1720.978401
211	1719.147883
212	1718.348948
213	1716.177316
214	1714.974645
215	1714.139036
216	1713.015806
217	1711.867869
218	1710.029545
219	1709.059682
220	1707.797514
221	1705.52148
222	1703.726549
223	1703.209022
224	1701.297946
225	1699.483924
226	1699.345802
227	1697.201998
228	1695.73045
229	1694.309257
230	1693.030398
231	1691.163793
232	1689.120247
233	1687.970075
234	1687.06928
235	1685.973059
236	1685.574124
237	1685.451755
238	1685.32798
239	1684.876137
240	1683.094437
241	1682.980706
242	1681.175114
243	1681.066383
244	1680.253856
245	1679.322502
246	1677.748879
247	1675.589051
248	1675.479032
249	1674.432199
250	1674.050293
251	1671.35231
252	1670.403795
253	1669.878785
254	1668.145012
255	1667.108471
256	1666.159195
257	1665.003729
258	1663.22752
259	1661.974103
260	1660.764722
261	1660.646123
262	1660.310905
263	1658.895716
264	1657.90665
265	1656.778653
266	1655.396324
267	1654.517639
268	1652.882874
269	1652.790122
270	1651.778489
271	1650.600128
272	1649.040901
273	1648.379759
274	1646.594613
275	1645.80857
276	1644.692987
277	1644.160551
278	1642.730982
279	1641.344668
280	1639.077922
281	1637.498755
282	1636.818465
283	1635.550398
284	1634.70215
285	1633.913521
286	1633.049121
287	1632.224658
288	1630.780457
289	1629.867583
290	1628.427121
291	1627.274282
292	1626.501896
293	1625.601235
294	1624.820244
295	1623.787319
296	1622.102126
297	1621.276844
298	1620.42501
299	1619.65799
300	1618.726483
301	1617.993504
302	1617.245809
303	1615.353769
304	1614.590778
305	1613.501178
306	1612.161873
307	1611.110908
308	1609.824668
309	1608.659725
310	1606.803984
311	1605.053473
312	1604.243638
313	1603.573492
314	1602.9531
315	1601.746404
316	1600.877429
317	1599.96716
318	1598.30426
319	1597.506854
320	1596.901092
321	1596.336492
322	1594.736147
323	1593.099357
324	1592.315984
325	1590.99829
326	1589.825608
327	1589.34314
328	1588.648729
329	1587.779995
330	1586.323161
331	1585.202452
332	1584.000418
333	1582.308972
334	1581.36104
335	1580.545423
336	1580.036927
337	1578.665418
338	1578.057155
339	1577.63546
340	1577.187996
341	1575.806531
342	1575.001508
343	1574.129601
344	1573.375509
345	1572.598527
346	1571.930172
347	1571.269016
348	1569.978385
349	1568.819917
350	1567.908017
351	1567.063072
352	1566.20426
